# Instruction,Parameters,Opcode,Cycles
# Normal LD operations
INC,"C",0x0C,4
INC,"D",0x14,4
INC,"E",0x1C,4
INC,"H",0x24,4
INC,"L",0x2C,4
INC,"(HL)",0x34,12

# DEC operations
DEC,"A",0x3D,4
DEC,"B",0x05,4
DEC,"C",0x0D,4
DEC,"D",0x15,4
DEC,"E",0x1D,4
DEC,"H",0x25,4
DEC,"L",0x2D,4
DEC,"(HL)",0x35,12

# ADD 16bits
ADD16,"HL,BC",0x09,8
ADD16,"HL,DE",0x19,8
ADD16,"HL,HL",0x29,8
ADD16,"HL,SP",0x39,8

# ADD 16bits SP
ADD16SP,"SP,n",0xE8,16,# Corrected a mistake in the parameters here

# INC 16bits
INC16,BC,0x03,8
INC16,DE,0x13,8
INC16,HL,0x23,8
INC16,SP,0x33,8

# DEC 16bits
DEC16,BC,0x0B,8
DEC16,DE,0x1B,8
DEC16,HL,0x2B,8
DEC16,SP,0x3B,8

# SWAP operations (changed from SWAP A for compatibilty)
SWAP,"A,A",0xCB37,8
SWAP,"B,B",0xCB30,8
SWAP,"C,C",0xCB31,8
SWAP,"D,D",0xCB32,8
SWAP,"E,E",0xCB33,8
SWAP,"H,H",0xCB34,8
SWAP,"L,L",0xCB35,8
SWAP,"(HL),(HL)",0xCB36,16

# DAA operation (changed from DAA -/- for compatibilty)
DAA,"A",0x27,4

# CPL operation (changed from CPL -/- for compatibilty)
CPL,"A",0x2F,4
